run_id,family,dataset,setting,method,variant,seed
run_104,sensitivity,KIBA,cold_target,concat,protein_len_1000,123
run_105,sensitivity,KIBA,cold_target,concat,protein_len_1000,2026
run_106,sensitivity,KIBA,cold_target,concat,drug_pool_mean,42
run_107,sensitivity,KIBA,cold_target,concat,drug_pool_mean,123
run_108,sensitivity,KIBA,cold_target,concat,drug_pool_mean,2026
run_109,sensitivity,DAVIS,warm,concat,protein_len_1000,42
run_110,sensitivity,DAVIS,warm,concat,protein_len_1000,123
run_111,sensitivity,DAVIS,warm,concat,protein_len_1000,2026
run_112,sensitivity,DAVIS,warm,concat,drug_pool_mean,42
run_113,sensitivity,DAVIS,warm,concat,drug_pool_mean,123
run_114,sensitivity,DAVIS,warm,concat,drug_pool_mean,2026
run_115,sensitivity,DAVIS,cold_drug,concat,protein_len_1000,42
run_116,sensitivity,DAVIS,cold_drug,concat,protein_len_1000,123
run_117,sensitivity,DAVIS,cold_drug,concat,protein_len_1000,2026
run_118,sensitivity,DAVIS,cold_drug,concat,drug_pool_mean,42
run_119,sensitivity,DAVIS,cold_drug,concat,drug_pool_mean,123
run_120,sensitivity,DAVIS,cold_drug,concat,drug_pool_mean,2026
run_121,sensitivity,DAVIS,cold_target,concat,protein_len_1000,42
run_122,sensitivity,DAVIS,cold_target,concat,protein_len_1000,123
run_123,sensitivity,DAVIS,cold_target,concat,protein_len_1000,2026
run_124,sensitivity,DAVIS,cold_target,concat,drug_pool_mean,42
run_125,sensitivity,DAVIS,cold_target,concat,drug_pool_mean,123
run_126,sensitivity,DAVIS,cold_target,concat,drug_pool_mean,2026
